obszar,lokacja,cena,przestrzeń_m2,cena_m2,ilość_pokoi
lubelskie,"Feliksów, lubelskie",119000,,1322,3
lubelskie,"Bogucin, lubelskie",890000,,2697,2
lubelskie,"Żeszczynka, lubelskie",165000,,2200,2
lubelskie,"Dys, lubelskie",679999,,5231,5
lubelskie,"Wola Niemiecka, lubelskie",2290000,,9087,5
lubelskie,"Łuszczów Pierwszy, lubelskie",699000,,3082,6
lubelskie,"ul. Stanisława Nowakowskiego, Biłgoraj, lubelskie",430000,,3583,5
lubelskie,"Biała Podlaska, lubelskie",439000,,4439,5
lubelskie,"Kawęczyn, lubelskie",550000,,2279,6
lubelskie,"Nałęczów, lubelskie",1150000,,3833,8
lubelskie,"Rakowiska, lubelskie",1330000,,4463,7
lubelskie,"Biała Podlaska, lubelskie",165000,,5893,1
lubelskie,"Sitaniec, lubelskie",850000,,9140,5
lubelskie,"Udrycze-Wola, lubelskie",520000,,3133,6
lubelskie,"Lublin, Sławinek",1390000,,9456,4
lubelskie,"Białobrzegi, zamojski, lubelskie",435000,,3241,4
lubelskie,"Łuków, lubelskie",925000,,3807,7
lubelskie,"Prawiedniki, lubelskie",1090000,,9237,3
lubelskie,"Nasutów, lubelskie",1420000,,6860,5
lubelskie,"Wyżnica-Kolonia, lubelskie",1200000,,7143,6
lubelskie,"Niedrzwica Duża, lubelskie",620000,,6200,4
lubelskie,"Lublin, lubelskie",2500000,,10224,6
lubelskie,"Łuków, lubelskie",810000,,5063,5
lubelskie,"Słoneczna, Rejowiec Fabryczny, lubelskie",554000,,2931,8
lubelskie,"Lublin, Dziesiąta",620000,,2138,5
lubelskie,"Budy, lubelskie",215000,,1075,4
lubelskie,"ul. Józefa Poniatowskiego 7, Biała Podlaska, lubelskie",450000,,2647,6
lubelskie,"Strachosław, lubelskie",315000,,3150,2
lubelskie,"Franciszków, lubelskie",699000,,4161,4
lubelskie,"Włodawa, lubelskie",675000,,3971,3
lubelskie,"Biłgoraj, lubelskie",499000,,2835,4
lubelskie,"Lublin, Prawiedniki",950000,,5080,6
lubelskie,"Osmolice Drugie, lubelskie",1169000,,4836,6
lubelskie,"Minkowice-Kolonia, lubelskie",790000,,6148,3
lubelskie,"Lublin, Dziesiąta",370000,,7400,2
lubelskie,"Bystrzyca Nowa, lubelskie",949000,,4093,5
lubelskie,"Lublin, Dziesiąta, Seweryna Sierpińskiego",629000,,6901,5
lubelskie,"Skrobów-Kolonia, lubelskie",699000,,4993,4
lubelskie,"Lublin, Bazylianówka",770000,,6874,4
lubelskie,"Lublin, lubelskie",579000,,6417,4
lubelskie,"Nasutów, lubelskie",669000,,4956,5
lubelskie,"Krasne, lubelskie",320000,,4000,3
lubelskie,"Hulcze, lubelskie",390000,,1114,10+
lubelskie,"Annopol, lubelskie",3052000,,1400,10+
lubelskie,"Krasnystaw, lubelskie",790000,,4593,5
lubelskie,"Dub, lubelskie",180000,,3659,2
lubelskie,"Motycz, lubelskie",1090000,,5750,5
lubelskie,"Motycz, lubelskie",1190000,,5425,5
lubelskie,"ul. Józefa Nikodema Kłosowskiego, Krasnystaw, lubelskie",1500000,,11450,3
lubelskie,"Kiełczewice, Kiełczewice Górne, lubelskie",447000,,5588,3
lubelskie,"ul. Modrzewiowa, Kalinówka, lubelski, lubelskie",659000,,4843,5
lubelskie,"Łuków, lubelskie",900000,,4500,6
lubelskie,"Rudka Starościańska, lubelskie",1700000,,3769,8
lubelskie,"Radawiec Duży, lubelskie",940000,,64,2
lubelskie,"Siedliska Drugie, lubelskie",359000,,4488,4
lubelskie,"Batorz, lubelskie",180000,,3000,2
lubelskie,"Kraśniczyn, krasnostawski, lubelskie",355000,,3805,3
lubelskie,"Lublin, Ponikwoda",1149000,,5498,5
lubelskie,"Jakubowice Konińskie, lubelski, lubelskie",1199000,,9748,4
lubelskie,"ul. Dworcowa, Niedrzwica Duża, lubelskie",695000,,6349,5
lubelskie,"Motycz, lubelski, lubelskie",1495000,,6986,8
lubelskie,"Dominów, lubelskie",1470000,,7903,4
lubelskie,"Lublin, Dziesiąta, Seweryna Sierpińskiego",659000,,7230,5
lubelskie,"ul. Zagłoby, Lublin, lubelskie",2650000,,4949,9
lubelskie,"Lublin, Czechów, ul. Północna",1199000,,8690,4
lubelskie,"ul. Przedmieście Szperówka, Szczebrzeszyn, lubelskie",2500000,,6944,6
lubelskie,"Niedrzwica Duża, lubelskie",720000,,4088,4
lubelskie,"Wojsławice, chełmski, lubelskie",435000,,3346,4
lubelskie,"Jastków, lubelskie",1100000,,5565,5
lubelskie,"Rońsko, lubelskie",410000,,3727,5
lubelskie,"Lublin, Sławin, ul. Mgielna",1150000,,6765,5
lubelskie,"Lublin, Sławinek, ul. Zdrojowa",1250000,,8333,5
lubelskie,"Lublin, lubelskie",3400000,,11930,6
lubelskie,"Rokitów, lubelskie",180000,,1800,4
lubelskie,"Wilków, opolski, lubelskie",999500,,29,4
lubelskie,"Majdan-Grabina, lubelskie",550000,,4231,3
lubelskie,"Lublin, Czechów, ul. Jurajska",1090000,,6728,4
lubelskie,"Siedliska, lubelskie",725000,,3404,6
lubelskie,"Lublin, Ponikwoda, ul. Nasturcjowa",695000,,6743,4
lubelskie,"Jakubowice Konińskie-Kolonia, lubelskie",775000,,5741,4
lubelskie,"Jakubowice Konińskie-Kolonia, lubelskie",843000,,5735,4
lubelskie,"Snopków, lubelskie",1090000,,6229,5
lubelskie,"Krynka, łukowski, lubelskie",1200000,,9603,3
lubelskie,"Lublin, Zemborzyce, ul. Kukułcza",759000,,5007,4
lubelskie,"Zakrzew, lubelskie",330000,,3300,3
lubelskie,"Lublin, Kośminek",529000,,4809,4
lubelskie,"ul. Aleja Południowa, Tomaszów Lubelski, lubelskie",1225000,,2356,7
lubelskie,"Wierzbowa, Turka, lubelskie",920000,,5042,6
lubelskie,"Manie, lubelskie",170000,,1042,8
lubelskie,"Łuków, lubelskie",600000,,4000,4
lubelskie,"Górna - Kolejowa, Puławy, lubelskie",1250000,,7813,4
lubelskie,"Pliszczyn, lubelskie",998000,,5092,5
lubelskie,"Nałęczów, puławski, lubelskie",1500000,,10000,6
lubelskie,"Pieszowola, parczewski, lubelskie",150000,,4286,3
lubelskie,"Prawiedniki-Kolonia, lubelskie",1500000,,6000,5
lubelskie,"Kamień, lubelskie",315000,,1570,5
lubelskie,"Bonów, lubelskie",750000,,5013,6
lubelskie,"Radawiec Duży, lubelskie",790000,,7054,4
lubelskie,"Dęblin, lubelskie",460000,,5750,2
